date,students interact with core grade-level texts from the curriculum during the lesson,The teacher checks for understanding throughout the lesson and makes adaptations according to student understanding,The teacher incorporates issues important to the classroom school and community,Students talk and ask questions about each other's thinking in order to clarify or improve their understanding
08/02/2025,1,5,1,4
18/02/2025,1,5,2,4
21/02/2025,3,1,1,1
25/02/2025,5,5,1,4
09/03/2025,1,5,2,4
13/04/2025,1,2,5,2
24/04/2025,1,5,2,4
27/04/2025,5,1,5,1
13/05/2025,2,5,1,5
27/05/2025,5,5,1,1
