date,students interact with core grade-level texts from the curriculum during the lesson,The teacher checks for understanding throughout the lesson and makes adaptations according to student understanding,The teacher incorporates issues important to the classroom school and community,Students talk and ask questions about each other's thinking in order to clarify or improve their understanding
08/02/2025,3,5,3,4
18/02/2025,2,1,2,5
21/02/2025,2,4,3,5
25/02/2025,3,4,3,5
09/03/2025,2,5,2,4
13/04/2025,2,4,3,4
24/04/2025,3,5,4,4
27/04/2025,2,4,3,4
13/05/2025,2,4,3,5
27/05/2025,3,4,2,4
