date,How much of a priority is implementation of [curriculum] for your school?,How aligned is your HQIM To what extent are teachers held accountable to implementing [curriculum] through performance evaluations? with your school’s instructional vision?,To what extent is implementation of [curriculum] integrated with other school systems and initiatives (e.g. assessments and RTI)?,How often does school leadership review data on implementation of [curriculum] to support continuous improvement?
08/02/2025,5,3,4,2  
18/02/2025,5,1,3,3  
21/02/2025,5,1,3,1  
25/02/2025,5,2,3,4  
09/03/2025,5,4,5,1  
13/04/2025,5,4,3,5  
24/04/2025,5,3,5,5  
27/04/2025,5,3,5,1  
13/05/2025,5,2,2,2  
27/05/2025,5,4,2,1  
