date,students interact with core grade-level texts from the curriculum during the lesson,The teacher checks for understanding throughout the lesson and makes adaptations according to student understanding,The teacher incorporates issues important to the classroom school and community,Students talk and ask questions about each other's thinking in order to clarify or improve their understanding
08/02/2025,1,1,4,3
18/02/2025,1,4,1,2
21/02/2025,4,1,4,3
25/02/2025,4,5,1,2
09/03/2025,1,5,2,5
13/04/2025,4,1,5,5
24/04/2025,1,1,5,5
27/04/2025,5,1,4,3
13/05/2025,5,5,1,2
27/05/2025,5,5,4,1
